Plate,Well,F0,Fmax,DFF
M0025,A08,1492,10007,5.707104558
M0025,A09,11742,20134,0.71469937
M0025,A10,13867,18815,0.356818346
M0025,A11,3143,9288,1.955138403
M0025,A12,10466,17830,0.703611695
M0025,B01,7708,10092,0.30928905
M0025,B02,8834,18949,1.145007924
M0025,B03,14143,15862,0.121544227
M0025,B04,3258,6129,0.88121547
M0025,B05,19577,26552,0.356285437
M0025,B06,3850,9615,1.497402597
M0025,B07,7437,13562,0.823584779
M0025,B08,1977,8511,3.305007587
M0025,B09,753,4720,5.268260292
M0025,B10,2915,7807,1.678216123
M0025,B11,3476,9253,1.661967779
M0025,B12,6392,11826,0.850125156
M0025,C01,8175,10352,0.266299694
M0025,C02,4058,9856,1.428782652
M0025,C03,2698,9264,2.433654559
M0025,C04,10550,17519,0.66056872
M0025,C05,4170,6799,0.630455635
M0025,C06,3545,9286,1.619464034
M0025,C07,16667,17902,0.074098518
M0025,C08,9450,12924,0.367619048
M0025,C09,1081,5371,3.968547641
M0025,C10,2196,4426,1.015482696
M0025,C11,1041,2111,1.027857829
M0025,C12,8806,15163,0.721894163
M0025,D01,22062,24380,0.105067537
M0025,D02,389,547,0.406169666
M0025,D03,1873,11577,5.180993059
M0025,D04,3629,7841,1.160650317
M0025,D05,774,2719,2.512919897
M0025,D06,4496,5086,0.131227758
M0025,D07,2074,7539,2.635004822
M0025,D08,253,983,2.885375494
M0025,D09,616,3490,4.665584416
M0025,D10,2532,6604,1.60821485
M0025,D11,11542,16700,0.446889621
M0025,D12,9290,16065,0.729278794
M0025,E01,19177,21494,0.120821818
M0025,E02,2087,3016,0.44513656
M0025,E03,19348,21892,0.131486459
M0025,E04,2798,5856,1.092923517
M0025,E05,1028,4275,3.158560311
M0025,E06,7985,10436,0.306950532
M0025,E07,2385,6514,1.731236897
M0025,E08,5272,8554,0.622534143
M0025,E09,1041,5640,4.417867435
M0025,E10,1101,3898,2.540417802
M0025,E11,6135,6950,0.132844336
M0025,E12,1407,7748,4.506751955
M0025,F01,1577,8488,4.382371592
M0025,F02,750,1121,0.494666667
M0025,F03,2380,7835,2.292016807
M0025,F04,964,6752,6.004149378
M0025,F05,499,1787,2.581162325
M0025,F06,12277,15668,0.276207543
M0025,F07,12685,14037,0.106582578
M0025,F08,6822,10759,0.577103489
M0025,F09,2197,4913,1.236231224
M0025,F10,372,1575,3.233870968
M0025,F11,7850,13130,0.672611465
M0025,F12,15202,17951,0.18083147
M0025,G01,2080,12357,4.940865385
M0025,G02,5387,7372,0.368479673
M0025,G03,5749,9045,0.573317099
M0025,G04,8208,10875,0.324926901
M0025,G05,4062,7599,0.870753323
M0025,G06,10456,13727,0.312834736
M0025,G07,15572,20766,0.333547393
M0025,G08,5268,9923,0.883637054
M0025,G09,4104,7414,0.806530214
M0025,G10,4715,11894,1.522587487
M0025,G11,12465,13709,0.099799438
M0025,G12,11174,19379,0.734293897
M0025,H01,3310,14244,3.303323263
M0025,H02,112,1089,8.723214286
M0025,H03,12999,22345,0.718978383
M0025,H04,428,1920,3.485981308
M0025,H05,15612,22964,0.470919805
M0025,H06,9870,13327,0.350253293
M0025,H07,2883,13291,3.610128339
M0025,H08,738,6655,8.017615176
M0025,H09,345,3602,9.44057971
M0025,H10,5838,14442,1.473792395
M0025,H11,13533,23866,0.763540974
M0025,H12,18734,20066,0.071100673
M0026,A01,11159,14742,0.321086119
M0026,A02,15932,26687,0.67505649
M0026,A03,6874,15383,1.237852779
M0026,A04,800,2824,2.53
M0026,A05,5934,14625,1.464610718
M0026,A06,2421,8634,2.566294919
M0026,A07,1948,12159,5.241786448
M0026,A08,4759,9848,1.069342299
M0026,A09,2663,7511,1.820503192
M0026,A10,4401,6265,0.423540105
M0026,A11,2309,3600,0.559116501
M0026,A12,1138,10322,8.07029877
M0026,B01,5004,7995,0.597721823
M0026,B02,9511,14213,0.494374934
M0026,B03,213,2334,9.957746479
M0026,B04,755,3851,4.100662252
M0026,B05,1914,3011,0.573145246
M0026,B06,259,2559,8.88030888
M0026,B07,5759,7846,0.362389304
M0026,B08,502,3056,5.087649402
M0026,B09,1158,2320,1.003454231
M0026,B10,2629,4356,0.656903766
M0026,B11,7997,10522,0.315743404
M0026,B12,9795,13207,0.34834099
M0026,C01,5609,8104,0.444820824
M0026,C02,5667,8735,0.541379919
M0026,C03,2476,8805,2.556138934
M0026,C04,2661,7646,1.873355881
M0026,C05,4053,7877,0.943498643
M0026,C06,1731,4833,1.79202773
M0026,C07,3701,5212,0.408268036
M0026,C08,63,310,3.920634921
M0026,C09,921,4058,3.406080347
M0026,C10,1003,5971,4.953140578
M0026,C11,405,1961,3.841975309
M0026,C12,1395,5851,3.194265233
M0026,D01,11495,20299,0.765898217
M0026,D02,3260,5149,0.579447853
M0026,D03,12572,16880,0.342666242
M0026,D04,1629,4944,2.034990792
M0026,D05,4647,8593,0.849149989
M0026,D06,1674,3472,1.074074074
M0026,D07,1048,7835,6.476145038
M0026,D08,213,424,0.990610329
M0026,D09,3177,5981,0.882593642
M0026,D10,846,2911,2.440898345
M0026,D11,4814,6541,0.358745326
M0026,D12,8343,11268,0.350593312
M0026,E01,12004,21052,0.75374875
M0026,E02,855,2351,1.749707602
M0026,E03,766,6618,7.639686684
M0026,E04,1885,4936,1.618567639
M0026,E05,6373,9084,0.425388357
M0026,E06,391,4181,9.693094629
M0026,E07,209,2102,9.057416268
M0026,E08,3745,6922,0.848331108
M0026,E09,749,2855,2.811748999
M0026,E10,1449,1687,0.164251208
M0026,E11,8464,12011,0.419068998
M0026,E12,13878,18827,0.35660758
M0026,F01,9558,18318,0.91650973
M0026,F02,13110,17517,0.336155606
M0026,F03,526,5253,8.986692015
M0026,F04,1904,2828,0.485294118
M0026,F05,8879,11864,0.336186507
M0026,F06,79,532,5.734177215
M0026,F07,3218,5505,0.710689869
M0026,F08,385,3342,7.680519481
M0026,F09,98,451,3.602040816
M0026,F10,584,1116,0.910958904
M0026,F11,2452,7569,2.086867863
M0026,F12,1116,7111,5.371863799
M0026,G01,675,2678,2.967407407
M0026,G02,16932,18730,0.106189464
M0026,G03,756,7194,8.515873016
M0026,G04,1148,8556,6.452961672
M0026,G05,1754,6451,2.677879133
M0026,G06,1849,7730,3.180638183
M0026,G07,2082,9154,3.39673391
M0026,G08,3151,12756,3.048238654
M0026,G09,2808,10313,2.672720798
M0026,G10,2556,7958,2.113458529
M0026,G11,10523,16296,0.548607811
M0026,G12,2956,14420,3.878213802
M0026,H01,18493,28141,0.521710918
M0026,H02,23494,27815,0.183919299
M0026,H03,8212,17014,1.071846079
M0026,H04,1977,14337,6.251896813
M0026,H05,5156,9942,0.928238945
M0026,H06,4112,11999,1.918044747
M0026,H07,1150,11911,9.357391304
M0026,H08,4483,13676,2.050635735
M0026,H09,205,786,2.834146341
M0026,H10,2776,5209,0.876440922
M0026,H11,2831,9611,2.394913458
M0026,H12,11855,19044,0.606410797
M0027,A01,6299,8244,0.308779171
M0027,A02,3819,13774,2.606703325
M0027,A03,15611,17415,0.115559541
M0027,A04,7083,14306,1.019765636
M0027,A05,12125,16428,0.354886598
M0027,A06,4025,9652,1.398012422
M0027,A07,843,1193,0.415183867
M0027,A08,17023,21142,0.241966751
M0027,A09,4030,14932,2.705210918
M0027,A10,2726,15618,4.729273661
M0027,A11,4174,12645,2.029468136
M0027,A12,23390,33897,0.449209064
M0027,B01,3207,4675,0.457748675
M0027,B02,4256,13440,2.157894737
M0027,B03,2022,12936,5.397626113
M0027,B04,8698,13487,0.550586342
M0027,B05,6133,10276,0.675525844
M0027,B06,11947,14881,0.245584666
M0027,B07,10319,16760,0.62418839
M0027,B08,3561,9163,1.573153609
M0027,B09,3827,9482,1.477658741
M0027,B10,5329,11491,1.156314506
M0027,B11,5283,16349,2.094643195
M0027,B12,9630,15877,0.648701973
M0027,C01,6929,9544,0.377399336
M0027,C02,1326,8341,5.290346908
M0027,C03,694,7462,9.752161383
M0027,C04,10241,13952,0.362366956
M0027,C05,14607,19000,0.300746218
M0027,C06,5576,13770,1.469512195
M0027,C07,7540,17782,1.358355438
M0027,C08,17428,20963,0.202834519
M0027,C09,6527,14508,1.222766968
M0027,C10,1182,8897,6.527072758
M0027,C11,14317,22845,0.595655514
M0027,C12,6905,16605,1.404779146
M0027,D01,13429,20530,0.528780996
M0027,D02,1798,5990,2.331479422
M0027,D03,1517,5626,2.708635465
M0027,D04,1432,4305,2.006284916
M0027,D05,6343,14358,1.263597667
M0027,D06,7697,9993,0.298298038
M0027,D07,174,1184,5.804597701
M0027,D08,22092,31440,0.423139598
M0027,D09,5407,14170,1.6206769
M0027,D10,4274,8983,1.101778194
M0027,D11,1006,7701,6.655069583
M0027,D12,997,7761,6.784353059
M0027,E01,12283,16506,0.343808516
M0027,E02,2045,14406,6.044498778
M0027,E03,4909,8164,0.663067835
M0027,E04,10724,14295,0.332991421
M0027,E05,16288,20177,0.238764735
M0027,E06,7413,12453,0.679886686
M0027,E07,5102,11667,1.286750294
M0027,E08,3941,10167,1.579802081
M0027,E09,1593,9544,4.991211551
M0027,E10,10475,21767,1.077995227
M0027,E11,10084,16100,0.596588655
M0027,E12,1547,11009,6.116354234
M0027,F01,15627,20795,0.330709669
M0027,F02,5368,8211,0.52961997
M0027,F03,7391,17886,1.419970234
M0027,F04,13107,17375,0.325627527
M0027,F05,1447,9464,5.540428473
M0027,F06,1376,8921,5.483284884
M0027,F07,2225,3781,0.699325843
M0027,F08,4539,12913,1.844899758
M0027,F09,1689,10957,5.487270574
M0027,F10,1985,8081,3.071032746
M0027,F11,1307,8754,5.697781178
M0027,F12,2244,11007,3.905080214
M0027,G01,3546,15993,3.510152284
M0027,G02,4653,7172,0.541371158
M0027,G03,2787,11924,3.278435594
M0027,G04,21553,25703,0.192548601
M0027,G05,12507,18090,0.446390022
M0027,G06,1620,16195,8.99691358
M0027,G07,7347,19787,1.693208112
M0027,G08,20139,25566,0.269477134
M0027,G09,17586,21813,0.240361651
M0027,G10,13708,17966,0.310621535
M0027,G11,4627,15157,2.275772639
M0027,G12,1210,9447,6.807438017
M0027,H01,3805,14282,2.75348226
M0027,H02,26664,32906,0.23409841
M0027,H03,2946,5595,0.899185336
M0027,H04,22634,28510,0.259609437
M0027,H05,6929,15846,1.286910088
M0027,H06,4067,12501,2.073764446
M0027,H07,1799,10325,4.739299611
M0027,H08,12769,21960,0.719790117
M0027,H09,4248,15324,2.607344633
M0027,H10,976,3330,2.411885246
M0027,H11,9204,15951,0.733050847
M0027,H12,6491,15430,1.377137575
M0028,A01,3524,5046,0.431895573
M0028,A02,1621,8523,4.257865515
M0028,A03,10614,20376,0.91972866
M0028,A04,1210,7434,5.143801653
M0028,A05,4082,13836,2.389514944
M0028,A06,18327,24105,0.315272549
M0028,A07,3506,12500,2.5653166
M0028,A08,9824,18941,0.928033388
M0028,A09,19605,24481,0.248712063
M0028,A10,1587,3409,1.148078135
M0028,A11,6515,14094,1.163315426
M0028,A12,1819,10023,4.510170423
M0028,B01,2996,4276,0.427236315
M0028,B02,6505,11660,0.792467333
M0028,B03,14582,24450,0.676724729
M0028,B04,16742,21524,0.285628957
M0028,B05,9973,18562,0.861225308
M0028,B06,3110,7949,1.555948553
M0028,B07,12650,17291,0.36687747
M0028,B08,288,1216,3.222222222
M0028,B09,15001,20409,0.360509299
M0028,B10,1216,6166,4.070723684
M0028,B11,11152,18000,0.614060258
M0028,B12,553,8435,14.25316456
M0028,C01,5177,7111,0.37357543
M0028,C02,1743,11856,5.802065404
M0028,C03,1618,8150,4.037082818
M0028,C04,8994,17257,0.918723594
M0028,C05,9173,17171,0.871906683
M0028,C06,1979,10433,4.271854472
M0028,C07,1989,5497,1.763700352
M0028,C08,10999,14894,0.354123102
M0028,C09,4570,11702,1.560612691
M0028,C10,2633,8282,2.145461451
M0028,C11,2628,12564,3.780821918
M0028,C12,4405,8449,0.918047673
M0028,D01,1205,6624,4.497095436
M0028,D02,3190,8573,1.687460815
M0028,D03,1946,9423,3.842240493
M0028,D04,5046,9830,0.948077685
M0028,D05,1154,4116,2.566724437
M0028,D06,2208,6387,1.892663043
M0028,D07,2928,9398,2.209699454
M0028,D08,6746,12656,0.876074711
M0028,D09,7002,12128,0.73207655
M0028,D10,1561,5956,2.815502883
M0028,D11,14493,18470,0.274408335
M0028,D12,6933,8576,0.236982547
M0028,E01,4301,7037,0.636131132
M0028,E02,3195,17805,4.572769953
M0028,E03,10385,13959,0.344150217
M0028,E04,8830,15304,0.733182333
M0028,E05,1271,10009,6.874901652
M0028,E06,597,5916,8.909547739
M0028,E07,8378,11094,0.324182382
M0028,E08,16508,21720,0.315725709
M0028,E09,1084,7482,5.902214022
M0028,E10,12273,15414,0.255927646
M0028,E11,1712,7523,3.394275701
M0028,E12,4123,9212,1.234295416
M0028,F01,1772,11907,5.719525959
M0028,F02,1307,10059,6.696250956
M0028,F03,4200,11769,1.802142857
M0028,F04,5568,10852,0.948994253
M0028,F05,7042,11712,0.663163874
M0028,F06,852,6610,6.758215962
M0028,F07,9772,13066,0.337085551
M0028,F08,2142,8294,2.872082166
M0028,F09,2774,8097,1.91888969
M0028,F10,6169,11503,0.86464581
M0028,F11,7904,17379,1.198760121
M0028,F12,3631,12410,2.417791242
M0028,G01,1474,11174,6.5807327
M0028,G02,6875,14411,1.096145455
M0028,G03,5023,12572,1.502886721
M0028,G04,480,4230,7.8125
M0028,G05,19048,22326,0.172091558
M0028,G06,1818,6423,2.5330033
M0028,G07,12653,17750,0.402829369
M0028,G08,5846,13524,1.313376668
M0028,G09,1299,6890,4.304080062
M0028,G10,12148,21738,0.789430359
M0028,G11,11498,15347,0.33475387
M0028,G12,10856,17432,0.605747973
M0028,H01,11440,20125,0.759178322
M0028,H02,4165,13027,2.127731092
M0028,H03,4546,13623,1.996700396
M0028,H04,6465,15881,1.45645785
M0028,H05,5158,14215,1.755913145
M0028,H06,5207,14056,1.699443057
M0028,H07,9415,17848,0.895698354
M0028,H08,10179,14607,0.435013263
M0028,H09,2577,6549,1.541327125
M0028,H10,1197,7550,5.307435255
M0028,H11,4629,10858,1.345647008
M0028,H12,11818,15767,0.334151295